Taxon,mean,sem
Abrocomidae,5.28401823954113,0.133344607114585
Acrobatidae,3.29646856555733,0.668905615367809
Ailuridae,8.55064344127057,0
Anomaluridae,5.55441329698245,0.512021948634756
Antilocapridae,10.7674320147862,0
Aplodontiidae,6.69234425447615,0
Atelidae,8.85501218677322,0.0463492475918355
Balaenidae,17.3652263333099,0.41422156332953
Balaenopteridae,17.1677009499352,0.445791711271383
Bathyergidae,4.92756868348838,0.226953846143863
Bovidae,10.9032093123669,0.113915057936215
Bradypodidae,8.37206874993312,0.0230556266389177
Burramyidae,3.01430179142438,0.284620817380569
Caenolestidae_I,3.59070227870552,0.115839527345426
Caenolestidae_II,3.11342226351637,0.0251108086692891
Callitrichidae,6.21578309801157,0.0692946941476733
Calomyscidae,3.0624559055969,0
Caluromyidae,5.48847197603864,0.199718348460332
Camelidae,12.0926512604392,0.628950580404911
Canidae,8.58499933695765,0.145559076473285
Capromyidae,7.38498045364971,0.320900141180106
Castoridae,9.82860459280875,0.0235896653398289
Caviidae,6.85103389750154,0.411910422095329
Cebidae,7.30237780204749,0.213663607859893
Cercopithecidae,8.8533695452162,0.0513139398705903
Cervidae,10.7081144271078,0.152064009626175
Cheirogaleidae,4.54189712152545,0.257917259108323
Chinchillidae,7.19606419872492,0.369146368518416
Chrysochloridae,3.94983509609301,0.285953684670188
Craseonycteridae,0.672944473242426,0
Cricetidae,3.87413931518671,0.0351263570357714
Ctenodactylidae,5.30920743830833,0.095388283786583
Ctenomyidae,5.54980147021147,0.0761249419778258
Cuniculidae,9.05675527870297,0.0482190220443979
Cyclopedidae,5.57575969126963,0
Cynocephalidae,7.07249707252491,0.0584017577714415
Dasypodidae,7.6460741037292,0.302924350100946
Dasyproctidae,7.79868869877105,0.151331913606966
Dasyuridae,3.96476761375238,0.223868235863995
Daubentoniidae,7.91255859380552,0
Delphinidae,11.978605308435,0.192927375053847
Diatomyidae,5.8111409929767,0
Didelphidae,4.20575326952966,0.167744200753818
Dinomyidae,9.43348392329039,0
Dipodidae,3.64139747358134,0.246503879774161
Dugongidae,13.8982677772031,1.3035371418811
Echimyidae,5.61945598118778,0.0651012446937701
Elephantidae_I,15.2653019581931,0.108353219923032
Elephantidae_II,15.0002376479292,0
Emballonuridae,2.47479023261339,0.140588627290782
Equidae,12.5932440197675,0.11117808029281
Erethizontidae,7.53015153155715,0.2027323595504
Erinaceidae,5.68524587825223,0.273382587286309
Eschrichtiidae,17.1232768801358,0
Eupleridae,7.23932316373076,0.338336436936634
Felidae,9.18170185875867,0.219354120650738
Furipteridae,1.14740245283754,0
Galagidae,5.65448340826299,0.250793862168278
Geomyidae,5.53959108921479,0.106993913429033
Giraffidae,13.0626825339834,0.716842989568562
Gliridae,3.64001886074571,0.21329213462453
Herpestidae,7.18299249563222,0.128982119950241
Heteromyidae,3.57094638834301,0.118917602481002
Hippopotamidae,13.3061199924457,0.938774263161338
Hipposideridae,2.47427237099119,0.133502551907654
Hominidae,11.0255042286093,0.205753649262941
Hyaenidae,10.2986934841994,0.448522237668117
Hylobatidae,8.7712020899753,0.0639907829953182
Hypsiprymnodontidae,6.28086389419926,0
Hystricidae,8.58955254385311,0.284355200678838
Indriidae,8.13096842341126,0.300333075482145
Iniidae,11.6672939455351,0.0398055572430707
Kogiidae,12.5463142086484,0.428708580857191
Lemuridae,7.31752600431664,0.130507645878515
Leporidae,7.54113693933159,0.0773325684134136
Lorisidae,6.09410231258631,0.254695096173841
Macropodidae,8.77226795029724,0.107745994369733
Macroscelididae,4.46204157377728,0.266009023117854
Manidae,8.71131059213463,0.378879452150865
Megadermatidae,3.62917432424756,0.311608014049536
Megalonychidae,8.74172550348714,0.060120175820515
Mephitidae,7.26355424466047,0.251717554245256
Microbiotheriidae,3.2188758248682,0
Miniopteridae,2.34976532154011,0.0909030678354216
Molossidae,2.98629651003896,0.0886551199370303
Monodontidae,13.9452111510191,0.193571134673691
Mormoopidae,2.36956137129592,0.164895052897836
Moschidae,9.49459000632977,0.0220075056716045
Muridae,4.23323438913413,0.0568200921778812
Mustelidae,7.45031996438024,0.214900346842183
Myocastoridae,8.75802733733337,0
Myrmecobiidae,6.23723027645847,0
Myrmecophagidae,9.03576838107761,0.630000688006479
Mystacinidae,2.94328446168558,0.367623448629115
Myzopodidae,2.2082744135228,0
Nandiniidae,7.68119129077089,0
Natalidae,1.62132496398941,0.170075493277619
Neobalaenidae,17.281246460139,0
Nesomyidae,4.00561871594078,0.210664087479587
Noctilionidae,3.42378910974737,0.0249277878827621
Notoryctidae,4.00733318523247,0
Nycteridae,2.46332174254208,0.141993309183484
Ochotonidae,4.99301405962656,0.106241739660007
Octodontidae,4.89797370473568,0.10454642646824
Odobenidae,13.8576081385786,0
Ornithorhynchidae,7.30266487315078,0
Orycteropodidae,10.9362306573498,0
Otariidae,11.6909864052319,0.166078970614702
Pedetidae,7.84355447724433,0
Peramelidae,6.64601694201264,0.193525306077878
Petauridae,5.49879560358351,0.18663834353455
Petromuridae,5.41164605185504,0
Phalangeridae,7.77369758122268,0.130175669761762
Phascolarctidae,8.78396924806257,0
Phocidae,12.2379202619783,0.198863617276894
Phocoenidae,10.9315943247431,0.163563962951133
Phyllostomidae,2.9264694313957,0.0610801573970867
Physeteridae,16.4924800402706,0
Pitheciidae,7.30822859361047,0.104519116571515
Platanistidae,11.341941972727,0.103581782757809
Pontoporiidae,10.609057006181,0
Potoroidae,7.17321524547588,0.145396556699256
Prionodontidae,6.78515114593605,0.255980513656866
Procaviidae,7.96471189889368,0.0555140582982273
